class,word,weight,true_label,pred_label,confidence
Bot,0.,0.4694037344860957,Bot,Bot,0.9992008805274963
Bot,followers,0.20120082350854704,Bot,Bot,0.9992008805274963
Bot,32,0.19224624486414355,Bot,Bot,0.9992008805274963
Bot,and,0.16490855422749237,Bot,Bot,0.9992008805274963
Bot,yes.,-0.14677215867002508,Bot,Bot,0.9992008805274963
Bot,3111,0.14638708041249182,Bot,Bot,0.9992008805274963
Bot,has,0.12986951690654666,Bot,Bot,0.9992008805274963
Bot,no.,0.0890472420280488,Bot,Bot,0.9992008805274963
Bot,0.0000.,0.07372103429156006,Bot,Bot,0.9992008805274963
Bot,ratio,-0.06944174153760051,Bot,Bot,0.9992008805274963
Bot,following.,0.06433633835548797,Bot,Bot,0.9992008805274963
Bot,picture:,-0.042358956355613236,Bot,Bot,0.9992008805274963
Real,1257.,0.223154267916756,Real,Real,0.9991477727890015
Real,2200,0.10735657182763747,Real,Real,0.9991477727890015
Real,and,0.10022285950627763,Real,Real,0.9991477727890015
Real,no.,0.04772939898372092,Real,Real,0.9991477727890015
Real,Account,-0.04503126791041218,Real,Real,0.9991477727890015
Real,yes.,0.04313109892003659,Real,Real,0.9991477727890015
Real,Posts,0.042654307635263185,Real,Real,0.9991477727890015
Real,Threads:,0.037663446055681046,Real,Real,0.9991477727890015
Real,per,-0.026855523303638176,Real,Real,0.9991477727890015
Real,has,-0.02612717347828713,Real,Real,0.9991477727890015
Real,Bio:,-0.025665238169607904,Real,Real,0.9991477727890015
Real,Profile,-0.021579159436655414,Real,Real,0.9991477727890015
Scam,4,0.3237266092584548,Scam,Scam,0.9968695044517517
Scam,0.,0.25774288486337826,Scam,Scam,0.9968695044517517
Scam,18.5000.,-0.2066822630307266,Scam,Scam,0.9968695044517517
Scam,and,0.1912288054246527,Scam,Scam,0.9968695044517517
Scam,has,0.1868663413260209,Scam,Scam,0.9968695044517517
Scam,yes.,-0.17505892671715087,Scam,Scam,0.9968695044517517
Scam,is,0.12873898080971227,Scam,Scam,0.9968695044517517
Scam,74,-0.117228061111068,Scam,Scam,0.9968695044517517
Scam,following.,0.10998645754476324,Scam,Scam,0.9968695044517517
Scam,Account,0.09458448192470313,Scam,Scam,0.9968695044517517
Scam,no.,0.08277923355689713,Scam,Scam,0.9968695044517517
Scam,followers,0.062366428211861086,Scam,Scam,0.9968695044517517
Spam,35836,0.5918727311212372,Spam,Spam,0.9991788268089294
Spam,5.,0.06544027756636545,Spam,Spam,0.9991788268089294
Spam,332.,0.0572901416389915,Spam,Spam,0.9991788268089294
Spam,and,-0.04212570576882716,Spam,Spam,0.9991788268089294
Spam,followers,-0.03858222545277102,Spam,Spam,0.9991788268089294
Spam,0.0294.,0.030813022859922115,Spam,Spam,0.9991788268089294
Spam,Account,-0.023630855144789138,Spam,Spam,0.9991788268089294
Spam,1053,-0.02121262540779441,Spam,Spam,0.9991788268089294
Spam,External,-0.018825564813770564,Spam,Spam,0.9991788268089294
Spam,yes.,0.01881710617604331,Spam,Spam,0.9991788268089294
Spam,following.,-0.017901816543536554,Spam,Spam,0.9991788268089294
Spam,per,0.01451232935384096,Spam,Spam,0.9991788268089294
